Numero_Facture,Date_vente,Numero_produit_vendu,Qte_vendu,Numero_point_vente
1111154794154,1992-04-15,0008345387879,6,21023597
1111120987580,2016-05-16,0001217303243,3,14846071
1111174146025,1996-09-21,0008661021037,2,11307850
1111180794999,1977-11-05,0007017913088,3,16615180
1111180384145,2005-07-17,0008669924200,3,60005193
1111108125911,1994-03-25,0004676850198,4,14846071
1111148810556,2021-09-07,0002819717964,6,14846071
1111116251428,2010-01-27,0008345387879,4,14846071
1111118191951,1973-10-16,0007558991293,4,25004265
1111183105754,1991-05-23,0001598801758,4,60005193
1111164643282,2015-12-21,0007610661010,3,48874568
1111161740366,1998-02-16,0005044804621,5,21023597
1111160268861,2019-02-07,0001422080632,4,14846071
1111148787834,1999-12-01,0006652840124,1,14846071
1111103911281,2020-09-17,0006098095706,2,25004265
1111162636002,2019-08-19,0006098095706,3,12362221
1111142416655,1970-01-17,0003531693444,4,14846071
1111148858626,1989-12-07,0004928422456,6,25004265
1111171967104,1991-06-01,0001598801758,5,14846071
1111119246285,1990-03-11,0008980382741,6,16615180
1111111367520,2010-03-08,0005841795580,5,25004265
1111174281955,2017-07-28,0005360257996,3,16615180
1111167975137,2008-03-13,0004676850198,1,16615180
1111182325795,2006-07-18,0006098095706,3,11307850
1111168806515,1996-07-14,0000008441065,2,25004265
1111110284170,1970-08-30,0003724533342,5,21023597
1111101286909,1991-11-05,0004047585339,5,14846071
1111129502159,1985-06-07,0005591775122,2,11307850
1111137930791,1981-04-18,0009119964128,5,14846071
1111171291209,2007-12-07,0009867864152,5,60005193
1111167119197,1978-01-19,0009867864152,2,48874568
1111117589100,1992-02-16,0005314669905,1,48874568
1111106575350,1976-02-20,0006442639587,3,14846071
1111106983742,1996-07-24,0009721407105,6,21023597
1111187681506,2003-05-26,0009803372673,6,16615180
1111143086765,2017-07-09,0001382880433,4,12362221
1111167606864,2012-06-14,0001946548175,6,14846071
1111153086823,1977-08-11,0007665695138,6,60005193
1111136681748,2001-12-25,0001217303243,4,25004265
1111164079678,1971-12-22,0001510812688,4,25004265
1111182218196,1970-08-26,0001218756833,5,60005193
1111165099163,1983-12-29,0004420948058,2,12362221
1111174704188,1990-05-28,0000211415907,5,48874568
1111156666046,1975-06-11,0002620191588,4,14846071
1111158736006,1981-09-02,0001859573363,4,21023597
1111140192926,1988-06-08,0003857377776,5,21023597
1111187890533,1995-05-11,0007922798534,1,25004265
1111165973418,2001-03-24,0005069053462,1,21023597
1111196634579,1994-10-27,0003260718456,4,48874568
1111193720534,2000-02-13,0007859520307,5,25004265
1111150730583,2002-11-26,0006098095706,2,25004265
1111186174696,1991-01-15,0001708741578,3,16615180
1111186164116,1983-03-14,0007859520307,4,12362221
1111116299277,1987-12-25,0007558991293,5,11307850
1111113166268,1998-03-16,0004240739478,5,25004265
1111156331807,1973-01-29,0001217303243,2,14846071
1111146635151,1992-03-08,0008345387879,3,48874568
1111115272707,2014-07-15,0005132480843,1,11307850
1111182957095,1981-05-19,0005841795580,3,14846071
1111134046976,2003-09-14,0009721407105,1,21023597
1111140754568,1999-04-02,0000942881804,2,25004265
1111136761112,2008-09-06,0003686451623,5,14846071
1111110241098,1991-02-03,0005674791629,2,12362221
1111103104539,1979-10-14,0008280738590,2,14846071
1111192585271,1996-10-30,0003653498644,3,48874568
1111108408694,2018-11-04,0003228374021,4,25004265
1111142587058,1993-04-28,0005314669905,2,60005193
1111183102708,1970-10-18,0003132714456,3,16615180
1111186643741,2017-11-27,0008523384669,4,25004265
1111137051168,2018-05-12,0003653498644,2,12362221
1111156242295,1970-07-27,0006851969022,2,60005193
1111138181482,2007-01-13,0009119964128,3,21023597
1111109823144,2020-05-16,0005216906801,3,12362221
1111181044512,2016-07-19,0006178653116,2,48874568
1111158307145,1996-01-25,0002392864208,2,21023597
1111137379231,1996-06-08,0001510812688,4,60005193
1111124282933,2001-02-08,0007665695138,3,60005193
1111106395996,1993-02-26,0003260718456,3,25004265
1111120796052,2003-11-16,0004420948058,4,14846071
1111125077651,2010-01-08,0004692449871,4,16615180
1111103661087,1987-11-27,0005591775122,4,48874568
1111138180904,1984-07-12,0001409350109,5,25004265
1111198923749,2003-08-24,0005132480843,6,25004265
1111117558984,1987-01-24,0003132714456,1,48874568
1111116852823,1987-05-04,0003653498644,3,11307850
1111108042942,2009-05-12,0004676791651,3,21023597
1111127617763,2008-10-21,0004482941837,2,25004265
1111113134847,2017-05-27,0003857377776,5,21023597
1111174575955,1973-12-18,0005841795580,4,11307850
1111192499592,2017-12-31,0001218756833,1,60005193
1111111387160,1995-08-07,0005686293098,4,21023597
1111186096868,2011-02-25,0000920424979,3,14846071
1111122929823,1999-11-22,0001131084181,6,14846071
1111138988258,1984-10-03,0000365625573,6,16615180
1111110193014,1986-06-04,0004692449871,2,21023597
1111124927216,2004-06-14,0008090208108,1,16615180
1111115551857,1991-07-19,0005591775122,5,60005193
1111103568324,2019-12-16,0001409350109,4,16615180
1111140048735,2005-05-20,0001240090080,6,48874568
1111164229677,1989-08-17,0002819717964,5,11307850
1111177860898,2004-06-18,0000920424979,5,60005193
1111138311452,2000-01-05,0007859520307,1,60005193
1111142919026,1974-08-19,0008280738590,3,12362221
1111127924472,1972-10-03,0001131084181,3,16615180
1111150232636,1990-03-29,0001598801758,1,16615180
1111144672455,2003-04-30,0004420948058,6,25004265
1111174238485,1983-07-14,0001422080632,2,60005193
1111142185964,1980-04-20,0003724533342,4,25004265
1111143041634,1981-06-04,0009119964128,3,21023597
1111109448354,1987-10-11,0005591775122,1,16615180
1111168085026,2011-09-13,0004603470390,1,11307850
1111117586772,2009-01-04,0000365625573,6,25004265
1111123324085,1991-03-29,0001240090080,5,48874568
1111172314150,1998-07-20,0004692449871,2,48874568
1111128484302,2018-01-15,0002499813567,6,48874568
1111178384843,2004-04-01,0006851969022,4,48874568
1111166075777,1972-12-26,0003686451623,5,21023597
1111174385943,2021-03-10,0000126626962,3,60005193
1111168426706,2002-07-08,0003680487840,4,12362221
1111106167500,1973-08-04,0008935725197,6,48874568
1111157401370,1971-05-13,0003724533342,4,48874568
1111109893826,2017-04-06,0004420948058,3,12362221
1111128374573,2013-12-20,0006619277758,3,60005193
1111108540608,1978-01-07,0003949242258,5,16615180
1111103769639,2018-05-15,0006178653116,1,48874568
1111100819078,1971-09-25,0008280738590,5,12362221
1111183196363,1971-03-03,0007665695138,4,16615180
1111147725578,1987-06-16,0006851969022,6,60005193
1111159470602,2020-05-17,0001218756833,5,16615180
1111157582352,1972-12-16,0008280738590,3,60005193
1111141235134,2008-09-19,0005314669905,4,48874568
1111139190575,1991-11-12,0007825099608,4,21023597
1111120978519,2017-03-10,0003228374021,5,14846071
1111160404795,1980-02-16,0001598801758,3,14846071
1111167120704,2004-01-11,0000285143737,3,12362221
1111126965643,1973-03-15,0002894887538,1,12362221
1111191717628,1982-02-28,0008661021037,6,14846071
1111193454729,1974-02-22,0009357695778,6,12362221
1111156626088,2001-10-12,0009803372673,4,21023597
1111106113057,1977-05-07,0007922798534,5,21023597
1111102444223,2008-10-01,0004240739478,2,21023597
1111187435024,2014-02-21,0004676850198,5,60005193
1111140467239,1978-01-18,0006972019101,5,12362221
1111159126943,1991-07-31,0000008441065,6,11307850
1111169413842,2004-05-24,0003680487840,1,25004265
1111103795775,2018-03-16,0001409350109,1,25004265
1111197648834,2018-07-16,0008523384669,1,12362221
1111160361890,2016-07-01,0004603470390,6,11307850
1111168185740,1973-12-17,0005360257996,1,48874568
1111155629462,1981-05-27,0008980382741,4,21023597
1111108589027,1996-07-15,0007558991293,3,11307850
1111111735091,1995-04-13,0001218756833,3,12362221
1111143968788,1972-07-16,0006098095706,4,11307850
1111191706288,1985-03-24,0006972019101,3,21023597
1111163468985,2007-12-03,0008090208108,1,14846071
1111176771683,1999-06-21,0001859573363,4,11307850
1111151082858,2005-09-23,0000327459185,5,21023597
1111176243333,1981-06-25,0005329006979,4,11307850
1111123519399,1995-10-03,0008669924200,5,25004265
1111182146819,2015-03-07,0001409350109,4,11307850
1111190734350,1980-05-20,0007922798534,1,12362221
1111184139369,1970-07-08,0003228374021,6,48874568
1111177976612,1977-03-02,0007859520307,2,25004265
1111169293437,2008-05-27,0000211415907,1,48874568
1111160171666,1980-07-02,0008980382741,1,12362221
1111161393111,1988-05-04,0001510812688,6,25004265
1111135168592,2000-06-25,0005069053462,5,21023597
1111168394739,1997-07-26,0004047585339,5,14846071
1111169313777,2018-10-09,0007922798534,1,16615180
1111181538103,1990-02-04,0007316015544,6,25004265
1111198908838,2001-11-09,0005963941537,5,48874568
1111141083421,1998-10-03,0006052084814,1,11307850
1111113992911,1975-06-14,0004928422456,1,11307850
1111118699808,1973-12-07,0002620191588,1,48874568
1111178392190,2012-12-24,0004692449871,2,12362221
1111164765120,2003-10-19,0005044804621,4,16615180
1111125233491,1992-10-18,0003686451623,2,16615180
1111143398974,2011-11-19,0002894887538,1,14846071
1111172877464,2019-04-25,0004676850198,2,21023597
1111156871051,2002-12-03,0003260718456,3,25004265
1111128322048,2012-12-17,0005360257996,5,12362221
1111190009960,1994-11-19,0003857377776,1,21023597
1111180143568,2001-09-05,0005044804621,2,25004265
1111189751603,2004-01-13,0003680487840,6,12362221
1111127842486,1971-06-19,0006052084814,4,48874568
1111168559794,1978-11-23,0003949242258,5,16615180
1111199815043,1983-11-05,0001208184042,4,21023597
1111108097355,1988-10-01,0001285311706,5,16615180
1111111917565,1970-08-04,0005314669905,2,48874568
1111112163756,2015-03-31,0008661021037,1,11307850
1111157994575,2014-12-21,0007341871573,2,12362221
1111104406533,2006-09-05,0007341871573,6,60005193
1111105189244,2013-12-21,0002819717964,6,21023597
1111170149174,2011-09-09,0008935725197,5,21023597
1111146942471,1973-03-14,0003531693444,3,14846071
1111196781051,2014-06-15,0003228374021,5,48874568
1111133702187,1999-09-25,0006652840124,2,60005193
1111118927772,2017-06-17,0001946548175,5,16615180
1111147699527,1971-05-07,0005841795580,2,48874568
1111179707184,2010-06-12,0004047585339,3,11307850
1111152535346,1982-10-10,0005044804621,1,21023597
1111110450490,1992-05-04,0006972019101,2,12362221
1111164084528,1970-05-07,0006851969022,5,12362221
1111178418333,1996-01-02,0001217303243,4,12362221
1111131980976,1985-10-08,0002894887538,3,48874568
1111173545140,1997-12-10,0008090208108,2,12362221
1111141104089,2017-04-06,0003686451623,4,16615180
1111133789362,2008-02-18,0000211415907,4,16615180
1111184374975,2018-02-24,0009704202529,2,25004265
1111139536069,1995-08-29,0005841795580,1,11307850
1111147918765,2009-12-12,0002643953675,3,14846071
1111139362828,1987-09-20,0002894887538,6,21023597
1111189939193,2007-09-10,0004420948058,5,21023597
1111119731620,2013-08-09,0003260718456,1,25004265
1111158468549,2004-07-16,0008397359916,5,11307850
1111165990880,2012-11-14,0003228374021,1,48874568
1111116548979,2011-04-01,0006098095706,2,16615180
1111199115693,2010-10-21,0004482941837,1,11307850
1111118063333,1978-05-11,0005314669905,6,14846071
1111194922821,2018-08-15,0004928422456,4,21023597
1111182298914,1991-01-27,0006851969022,2,16615180
1111176777197,1987-06-21,0006894968655,4,48874568
1111165404943,2001-04-27,0004676850198,1,60005193
1111141250724,2013-02-21,0006972019101,4,48874568
1111168483242,1970-04-02,0003228374021,2,25004265
1111143491866,1991-04-12,0005329006979,5,11307850
1111134571522,2016-08-17,0007017913088,3,25004265
1111140018097,2018-01-02,0001729474004,1,48874568
1111112239420,1989-04-10,0004240739478,6,14846071
1111139914287,2021-03-08,0006851969022,5,12362221
1111183985189,1989-05-21,0009867864152,6,21023597
1111131841741,2001-09-05,0005314669905,1,11307850
1111109931382,1984-02-29,0005591775122,2,12362221
1111194365765,2004-01-13,0005329006979,4,11307850
1111177191442,1983-12-16,0007665695138,4,21023597
1111132633475,1973-03-15,0008935725197,3,11307850
1111181928379,2021-05-06,0001409350109,1,60005193
1111128384916,1990-06-16,0006178653116,6,60005193
1111152684624,2008-07-07,0009885913702,2,48874568
1111127158471,2017-03-16,0004482941837,2,16615180
1111147718938,2011-06-07,0005674791629,3,12362221
1111197496961,2011-11-03,0005360257996,5,25004265
1111186650749,1989-03-14,0006652840124,4,16615180
1111190343316,1983-10-29,0001409350109,3,60005193
1111104599396,2012-08-09,0005132480843,2,11307850
1111128504932,1997-03-10,0007922798534,6,25004265
1111123288240,1975-10-29,0002894887538,1,16615180
1111105194323,1978-07-09,0006619277758,6,16615180
1111134856575,1970-09-05,0005069053462,4,14846071
1111169777159,2012-09-15,0004333559662,6,21023597
1111125753272,1995-11-16,0002620191588,4,25004265
1111118865678,1985-05-07,0002819717964,6,16615180
1111165197760,2015-11-20,0001285311706,5,11307850
1111160897436,2006-03-01,0007017913088,3,48874568
1111147424884,1990-10-16,0008669924200,6,12362221
1111160676055,1975-08-14,0007859520307,4,60005193
1111127735078,1972-05-10,0001510812688,5,21023597
1111156108287,2008-08-05,0009704202529,4,16615180
1111173084533,2016-09-23,0009119964128,3,12362221
1111179069305,2012-03-31,0002499813567,3,48874568
1111185506597,1989-10-19,0004928775934,6,12362221
1111100247994,2015-03-01,0003260718456,4,11307850
1111116233240,1984-04-23,0003260718456,4,48874568
1111110925561,2001-09-07,0001218756833,2,60005193
1111168965649,1999-04-22,0007017913088,2,11307850
1111121721947,2000-03-17,0008711679478,3,48874568
1111173503263,2000-08-14,0005314669905,6,25004265
1111124204225,1983-08-24,0002499813567,4,12362221
1111165119328,1972-12-15,0005132480843,3,14846071
1111105396826,2013-11-20,0005069053462,6,14846071
1111196503981,1998-05-07,0009885913702,1,60005193
1111149496643,2009-04-12,0001217303243,6,14846071
1111163305457,1981-02-27,0004420948058,6,25004265
1111181767572,2009-12-22,0001729474004,4,21023597
1111164860436,1972-01-17,0009867864152,2,21023597
1111133531596,1977-04-23,0006972019101,1,14846071
1111198421337,2008-03-15,0007610661010,4,11307850
1111177327742,1991-02-05,0001217303243,5,16615180
1111118176491,2020-06-02,0008980382741,5,16615180
1111100256828,2006-11-18,0006972019101,3,48874568
1111156072113,2005-08-06,0001382880433,4,12362221
1111120760787,1994-10-14,0003949242258,3,60005193
1111182015894,1997-08-28,0003724533342,2,16615180
1111152357078,2010-11-12,0001946548175,6,14846071
1111105493020,2016-09-16,0002643953675,4,25004265
1111163410717,1986-01-15,0001382880433,2,48874568
1111165291284,2000-05-26,0006851969022,2,14846071
1111113241965,1997-09-10,0004420948058,6,60005193
1111164530124,2003-10-02,0001217303243,1,25004265
1111121182892,1990-07-22,0008935725197,2,12362221
1111123482563,1981-09-05,0001409350109,5,11307850
1111128410721,2000-12-26,0008090208108,3,16615180
1111162237445,2016-05-10,0009721407105,4,14846071
1111124432062,1998-07-11,0001382880433,3,25004265
1111108494246,1994-05-24,0009721407105,6,12362221
1111148465275,1985-06-11,0006972019101,2,16615180
1111111962374,2014-03-15,0006178653116,3,21023597
1111147160461,1981-08-25,0006972019101,2,12362221
1111134387796,1991-02-12,0005216906801,1,21023597
1111103800479,2006-01-01,0009721407105,5,16615180
1111183425463,2006-07-17,0003857377776,5,60005193
1111155903203,1980-07-23,0000126626962,4,60005193
1111155758698,1979-02-21,0001218756833,5,60005193
1111198290285,1986-07-14,0009803372673,4,14846071
1111166871904,1973-10-04,0008090208108,5,16615180
1111138890414,1981-03-21,0006098095706,4,48874568
1111131013179,2018-02-19,0006894968655,5,21023597
1111115894398,1994-09-02,0007859520307,1,12362221
1111124572423,2005-08-06,0005674791629,1,25004265
1111186357259,1983-11-21,0000211415907,5,12362221
1111123664495,2012-05-19,0009119964128,4,25004265
1111165257716,1991-09-11,0000211415907,1,25004265
1111171782646,2007-12-11,0001218756833,1,16615180
1111101331104,2001-08-27,0004692449871,4,16615180
1111153812651,2005-04-16,0004676850198,5,25004265
1111184863325,2008-05-06,0005686293098,5,48874568
1111180111925,2021-06-18,0003531693444,1,25004265
1111186249097,1976-09-24,0001409350109,5,60005193
1111163163262,2014-06-26,0003857377776,2,11307850
1111180818954,2020-05-20,0005069053462,5,25004265
1111177880711,2000-10-14,0007610661010,5,11307850
1111150238584,1988-05-03,0007922798534,4,25004265
1111166961629,1970-03-29,0009867864152,2,60005193
1111143611042,2018-12-18,0007922798534,4,12362221
1111181543824,2002-10-01,0003653498644,5,60005193
1111182477012,1997-08-18,0005329006979,1,12362221
1111104066355,2020-12-12,0003260718456,2,21023597
1111152908898,2017-08-17,0006619277758,2,21023597
1111128064788,1974-03-07,0005329006979,2,48874568
1111132105613,2009-06-13,0004692449871,2,21023597
1111106972555,1989-06-21,0008661021037,1,25004265
1111109573322,2012-06-24,0007922798534,1,14846071
1111142973950,2015-06-10,0008661021037,4,11307850
1111177612039,2013-09-09,0001422080632,6,14846071
1111152983420,1973-07-06,0004047585339,3,14846071
1111155501492,1999-07-01,0005360257996,4,60005193
1111183552398,2011-12-07,0008935725197,1,60005193
1111157165142,2015-10-20,0005963941537,4,12362221
1111149981408,2004-05-07,0007341871573,1,12362221
1111157418651,2009-08-21,0007558991293,3,48874568
1111118923262,1997-07-29,0001218756833,2,14846071
1111117017320,1997-04-18,0000365625573,3,11307850
1111161455963,2018-05-29,0008661021037,4,60005193
1111132738781,1981-08-12,0001382880433,6,12362221
1111126613919,2015-08-08,0008523384669,6,21023597
1111140680621,1977-09-24,0008711679478,2,12362221
1111199088966,2016-08-05,0004333559662,3,14846071
1111139038303,1990-03-16,0004676791651,5,48874568
1111118677479,2006-04-24,0003990446681,6,12362221
1111151276714,2005-01-22,0003132714456,6,11307850
1111101369787,1995-02-12,0004928775934,3,14846071
1111171262209,1979-05-15,0003228374021,1,60005193
1111173484494,1970-03-08,0003857377776,3,25004265
1111119843828,2006-02-12,0001708741578,3,48874568
1111117150720,1977-06-11,0009357695778,2,16615180
1111106271726,1984-09-22,0005132480843,6,12362221
1111145919207,2021-01-31,0007558991293,4,21023597
1111130391391,1999-11-05,0009867864152,6,60005193
1111168353514,1972-11-21,0006098095706,5,60005193
1111120801015,2016-04-11,0006851969022,5,60005193
1111184443046,2004-07-15,0007017913088,1,25004265
1111146611247,1996-07-31,0004928775934,4,60005193
1111174686613,2002-02-21,0005360257996,5,11307850
1111159066737,1985-05-28,0002894887538,4,14846071
1111127280561,1990-01-25,0003949242258,6,14846071
1111101027793,1989-09-03,0005360257996,2,60005193
1111179374591,2014-05-26,0001240090080,6,25004265
1111100632349,1985-08-28,0005963941537,2,60005193
1111164425390,2002-12-18,0005360257996,1,21023597
1111152909710,1974-07-02,0001598801758,3,21023597
1111139931345,1975-10-03,0006442639587,4,11307850
1111196722160,2014-06-22,0009119964128,3,60005193
1111168984305,2002-12-30,0007341871573,5,60005193
1111113945740,2001-08-14,0006652840124,2,16615180
1111148652606,2016-10-27,0008980382741,6,16615180
1111179905252,2020-11-07,0001217303243,3,11307850
1111145683689,1995-07-10,0005674791629,3,21023597
1111111737385,1998-05-21,0003132714456,6,21023597
1111129825722,1995-06-20,0001946548175,3,11307850
1111143011330,1977-01-04,0008661021037,1,21023597
1111133846744,1999-02-17,0006619277758,6,16615180
1111178421616,1982-11-07,0003653498644,4,48874568
1111109667007,1990-05-03,0008661021037,3,14846071
1111109714459,1972-07-14,0005329006979,3,21023597
1111115786532,2002-09-06,0001859573363,1,12362221
1111137918539,2003-01-07,0000942881804,3,21023597
1111136695158,2001-03-10,0000365625573,1,60005193
1111113457861,1973-09-09,0006972019101,6,16615180
1111150478362,2009-01-13,0002643953675,6,11307850
1111157977790,1971-06-01,0005674791629,6,48874568
1111136733270,1974-11-09,0000285143737,1,14846071
1111158905747,1985-09-03,0008980382741,3,25004265
1111103533964,1984-08-30,0007825099608,5,25004265
1111137104512,1977-02-19,0005132480843,2,21023597
1111168798162,1984-09-24,0006619277758,4,14846071
1111162385627,1996-07-27,0006052084814,1,25004265
1111103362175,1987-07-24,0008980382741,4,11307850
1111175729630,1984-05-19,0008661021037,5,48874568
1111109489937,2008-03-08,0007922798534,5,11307850
1111147719621,1991-01-31,0000963002721,6,16615180
1111144914098,1993-02-15,0006894968655,5,14846071
1111162873995,1987-01-21,0008935725197,6,14846071
1111142353387,1975-01-20,0001240090080,5,16615180
1111148888852,1974-11-11,0002643953675,5,14846071
1111119612714,1975-09-19,0009357695778,6,25004265
1111161660091,1998-03-19,0000365625573,4,16615180
1111143136934,2002-05-10,0005329006979,2,48874568
1111136151562,1980-07-27,0004047585339,6,25004265
1111135306192,2007-11-12,0007017913088,5,12362221
1111113385737,1988-09-18,0000327459185,2,48874568
1111158618203,2020-06-16,0008523384669,1,14846071
1111195516388,1998-11-11,0008980382741,2,21023597
1111162528192,1976-08-20,0001218756833,3,48874568
1111141591063,2003-01-25,0001208184042,6,60005193
1111110347080,2019-07-23,0001946548175,2,11307850
1111122871306,2016-04-25,0000428534378,1,25004265
1111113887552,2005-09-25,0008397359916,1,11307850
1111157517637,1988-10-02,0001217303243,6,16615180
1111140196399,1971-11-12,0005216906801,5,25004265
1111186782891,1971-10-16,0002819717964,4,12362221
1111142491171,1990-06-13,0004692449871,4,60005193
1111184547690,2003-07-10,0005686293098,4,11307850
1111120447091,2021-03-07,0009867864152,2,11307850
1111130979155,2016-03-16,0005132480843,6,12362221
1111150465508,2010-04-01,0007825099608,6,16615180
1111126719239,1998-05-23,0006972019101,4,12362221
1111111938133,1972-07-12,0009119964128,2,16615180
1111112006176,2001-09-26,0003132714456,4,48874568
1111145459123,2013-11-12,0002620191588,2,11307850
1111114361051,2008-06-29,0005044804621,3,11307850
1111164471243,1980-07-14,0003228374021,5,14846071
1111169944407,2006-10-16,0006442639587,6,48874568
1111168348893,2001-01-16,0009119964128,6,14846071
1111163393393,1985-08-11,0003857377776,5,25004265
1111181818687,2004-08-05,0005674791629,2,14846071
1111167017172,1970-05-12,0003680487840,5,11307850
1111182841684,2014-08-25,0003132714456,4,60005193
1111144407255,1980-05-23,0003653498644,2,25004265
1111128869529,2002-10-03,0000327459185,6,16615180
1111115156465,2007-06-29,0009867864152,6,48874568
1111175784950,2021-01-24,0008397359916,4,12362221
1111126723564,2000-10-15,0008935725197,3,14846071
1111115642388,1999-05-27,0003260718456,4,21023597
1111173125021,1979-06-14,0009885913702,6,21023597
1111156362009,1982-09-07,0007558991293,1,25004265
1111142023853,1995-06-04,0004420948058,1,60005193
1111121155315,1981-08-04,0005329006979,5,16615180
1111159391808,2018-03-22,0005360257996,3,14846071
1111142137925,2018-12-28,0009867864152,5,25004265
1111151879472,1970-08-02,0003686451623,3,25004265
1111152756215,2021-07-25,0008397359916,3,48874568
1111121436902,2005-01-01,0003686451623,4,16615180
1111157187281,1978-02-10,0007922798534,5,21023597
1111133037982,1979-08-13,0008669924200,5,21023597
1111109652782,1970-12-09,0000365625573,6,21023597
1111103945002,1974-12-25,0004692449871,1,25004265
1111153220548,1987-06-02,0007316015544,2,21023597
1111136725640,1984-12-05,0008523384669,6,25004265
1111164668384,2018-04-12,0004603470390,1,25004265
1111150352754,2013-09-21,0006652840124,5,14846071
1111110010168,1979-01-14,0004676850198,2,14846071
1111190635183,2017-10-18,0004240739478,2,21023597
1111165112336,2003-02-18,0004928422456,3,60005193
1111193166875,1981-02-13,0006972019101,2,16615180
1111175901418,1999-01-10,0009867864152,2,11307850
1111124583351,2003-10-06,0006178653116,6,25004265
1111113670345,1980-09-01,0006972019101,4,60005193
1111114720827,1985-01-01,0009885913702,3,11307850
1111139850967,2015-03-16,0005216906801,1,11307850
1111169674328,1981-08-22,0003949242258,5,25004265
1111188754179,1977-09-30,0003531693444,1,21023597
1111198228769,1999-05-16,0001598801758,5,11307850
1111159852156,1976-06-22,0004692449871,3,21023597
1111161257512,1982-01-12,0007859520307,6,16615180
1111157110180,1987-07-08,0003724533342,2,25004265
1111103132839,2006-04-08,0006851969022,3,11307850
1111158797212,1971-02-08,0005329006979,3,11307850
1111102194371,2010-06-04,0003857377776,1,48874568
1111110488028,2012-10-12,0008090208108,6,60005193
1111163657884,1970-05-04,0003228374021,2,48874568
1111123494450,1991-05-12,0000327459185,2,14846071
1111125921206,1981-06-06,0002392864208,6,48874568
1111114360658,1989-07-12,0008661021037,3,48874568
1111145171193,2011-09-28,0003260718456,6,12362221
1111110709291,1988-07-18,0004240739478,1,25004265
1111105286127,2020-08-19,0000920424979,2,21023597
1111119621174,2009-07-01,0006619277758,3,14846071
1111195955460,2017-08-26,0000008441065,4,11307850
1111162733534,2018-09-18,0003686451623,3,60005193
1111192996244,1984-01-24,0003990446681,4,16615180
1111147640949,1974-07-06,0004047585339,6,25004265
1111147716897,2021-08-11,0000327459185,2,25004265
1111115158025,1988-11-25,0005963941537,5,11307850
1111103717173,1977-04-23,0009357695778,2,48874568
1111157726152,1991-01-30,0004240739478,6,14846071
1111155424982,2001-06-29,0005329006979,5,12362221
1111191045592,2010-02-18,0008669924200,2,12362221
1111107189433,1995-11-10,0009867864152,2,60005193
1111164537994,2009-04-09,0009119964128,6,21023597
1111110438757,2017-12-31,0003949242258,6,11307850
1111157532609,1993-05-19,0004676850198,3,21023597
1111146952746,2018-05-01,0004603470390,6,48874568
1111131335271,2016-11-23,0002643953675,4,11307850
1111184929199,1982-08-21,0007017913088,5,25004265
